time	ke_at_point[J/kg]
0.266	875.485
0.2665	874.554
0.267	873.531
0.2675	873.08
0.268	873.478
0.2685	874.845
0.269	876.504
0.2695	877.607
0.27	878.341
0.2705	878.593
0.271	878.537
0.2715	878.205
0.272	877.734
0.2725	877.614
0.273	877.455
0.2735	877.553
0.274	878.608
0.2745	879.892
0.275	881.411
0.2755	882.023
0.276	881.947
0.2765	881.147
0.277	879.637
0.2775	877.094
0.278	873.693
0.2785	869.551
0.279	865.549
0.2795	861.688
0.28	858.581
0.2805	855.977
0.281	852.736
0.2815	848.704
0.282	843.793
0.2825	838.75
0.283	834.602
0.2835	831.742
0.284	830.101
0.2845	829.357
0.285	829.508
0.2855	830.771
0.286	833.039
0.2865	836.243
0.287	839.812
0.2875	843.062
0.288	846.385
0.2885	849.382
0.289	851.875
0.2895	854.296
0.29	856.02
0.2905	857.158
0.291	857.512
0.2915	857.659
0.292	858.415
0.2925	860.215
0.293	862.626
0.2935	865.763
0.294	870.435
0.2945	876.127
0.295	880.894
0.2955	884.431
0.296	886.08
0.2965	887.006
0.297	887.461
0.2975	887.318
0.298	887.163
0.2985	886.85
0.299	886.574
0.2995	886.832
0.3	886.588
0.3005	886.209
0.301	885.317
0.3015	884.531
0.302	883.144
0.3025	881.766
0.303	880.198
0.3035	877.928
0.304	874.698
0.3045	871.34
0.305	868.263
0.3055	865.616
0.306	863.806
0.3065	863.218
0.307	863.153
0.3075	863.594
0.308	864.435
0.3085	865.247
0.309	865.603
0.3095	865.628
0.31	865.756
0.3105	865.767
0.311	865.887
0.3115	866.382
0.312	867.627
0.3125	869.258
0.313	871.74
0.3135	875.288
0.314	878.129
0.3145	879.182
0.315	879.283
0.3155	878.768
0.316	878.833
0.3165	879.085
0.317	879.481
0.3175	879.78
0.318	880.098
0.3185	880.32
0.319	879.717
0.3195	878.498
0.32	876.961
0.3205	875.827
0.321	874.76
0.3215	873.533
0.322	871.554
0.3225	868.856
0.323	866.404
0.3235	864.197
0.324	862.129
0.3245	860.891
0.325	859.888
0.3255	858.553
0.326	857.197
0.3265	856.437
0.327	856.363
0.3275	856.238
0.328	856.519
0.3285	856.937
0.329	857.594
0.3295	858.635
0.33	860.25
0.3305	862.485
0.331	864.682
0.3315	866.646
0.332	868.502
0.3325	870.622
0.333	872.64
0.3335	874.624
0.334	876.091
0.3345	877.335
0.335	878.679
0.3355	880.505
0.336	883.023
0.3365	886.404
0.337	890.093
0.3375	893.242
0.338	895.851
0.3385	897.824
0.339	898.978
0.3395	899.655
0.34	900.262
0.3405	900.552
